H100 CAMPAIGN STATUS (SANITIZED)
captured_utc=2026-08-12T03:29:18+00:00
campaign_id=judy-h100-operator-status-2026-08-12
code_sha=1a82d508fbeb9fdf6868a9637611e9018952fb43
hardware=NVIDIA H100 80GB HBM3
precision=32-true;tf32_enabled=false
summary=done:13;started:8;pending:11
contract_verified=0

exp_id|status|latest_epoch|duration_seconds|evidence
vitrand-f100-s0|DONE|34|70260|status-only
satdino-f100-s0|DONE|49|97200|status-only
sarmae-f100-s0|DONE|44|86400|status-only
vitin1k-f100-s0|DONE|49|97200|status-only
cnnrand-f100-s0|DONE|49|183600|status-only
beS2-f100-s0|DONE|49|183600|status-only
beS1-f100-s0|DONE|24|90000|status-only
cnnin1k-f100-s0|DONE|49|183600|status-only
vitrand-f50-s0|DONE|49|54060|status-only
satdino-f50-s0|STARTED|30|31980|status-only
sarmae-f50-s0|STARTED|18|19500|status-only
vitin1k-f50-s0|STARTED|9|9420|status-only
cnnrand-f50-s0|DONE|49|93600|status-only
beS2-f50-s0|DONE|49|93600|status-only
beS1-f50-s0|DONE|44|86400|status-only
cnnin1k-f50-s0|DONE|39|76920|status-only
vitrand-f25-s0|STARTED|0|0|status-only
satdino-f25-s0|PENDING|-|-|status-only
sarmae-f25-s0|PENDING|-|-|status-only
vitin1k-f25-s0|PENDING|-|-|status-only
cnnrand-f25-s0|STARTED|7|7620|status-only
beS2-f25-s0|STARTED|1|1080|status-only
beS1-f25-s0|STARTED|0|900|status-only
cnnin1k-f25-s0|STARTED|0|600|status-only
vitrand-f10-s0|PENDING|-|-|status-only
satdino-f10-s0|PENDING|-|-|status-only
sarmae-f10-s0|PENDING|-|-|status-only
vitin1k-f10-s0|PENDING|-|-|status-only
cnnrand-f10-s0|PENDING|-|-|status-only
beS2-f10-s0|PENDING|-|-|status-only
beS1-f10-s0|PENDING|-|-|status-only
cnnin1k-f10-s0|PENDING|-|-|status-only
